Name,@Bg,@TopReeds,@Lilypad,@SideReeds,@Contents,@BottomReeds,@Score,Count,Notes
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
5Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
4Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
3Flower,SquareCardBack.png,,,,,,,1,
7Flower,SquareCardBack.png,,,,,,,1,
7Flower,SquareCardBack.png,,,,,,,1,
Worm,SquareCardBack.png,,,,,,,1,
Worm,SquareCardBack.png,,,,,,,1,
Worm,SquareCardBack.png,,,,,,,1,
Worm,SquareCardBack.png,,,,,,,1,
Worm,SquareCardBack.png,,,,,,,1,
Worm,SquareCardBack.png,,,,,,,1,
Butterfly,SquareCardBack.png,,,,,,,1,
Butterfly,SquareCardBack.png,,,,,,,1,
Butterfly,SquareCardBack.png,,,,,,,1,
Butterfly,SquareCardBack.png,,,,,,,1,
Butterfly,SquareCardBack.png,,,,,,,1,
Butterfly,SquareCardBack.png,,,,,,,1,
Cricket,SquareCardBack.png,,,,,,,1,
Cricket,SquareCardBack.png,,,,,,,1,
Cricket,SquareCardBack.png,,,,,,,1,
Cricket,SquareCardBack.png,,,,,,,1,
Cricket,SquareCardBack.png,,,,,,,1,
Cricket,SquareCardBack.png,,,,,,,1,
,,,,,,,,,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice1,SquareCardBg.png,,,,Ice1.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice2,SquareCardBg.png,,,,Ice2.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
Ice3,SquareCardBg.png,,,,Ice3.png,,,8,
